Sample	Measure	Status 
Failed module: Tco-106_1	Per base sequence content	fail
Failed module: Tco-106_2	Per base sequence content	fail
Failed module: Tco-122_1	Per base sequence content	fail
Failed module: Tco-122_2	Per base sequence content	fail
Failed module: Tco-159_1	Per base sequence content	fail
Failed module: Tco-159_2	Per base sequence content	fail
Failed module: Tco-160_1	Per base sequence content	fail
Failed module: Tco-160_2	Per base sequence content	fail
Failed module: Tco-182_1	Per base sequence content	fail
Failed module: Tco-182_2	Per base sequence content	fail
Failed module: Tco-21_1_	Per base sequence content	fail
Failed module: Tco-21_2_	Per base sequence content	fail
Failed module: Tco-229_1	Per base sequence content	fail
Failed module: Tco-229_2	Per base sequence content	fail
Failed module: Tco-230_1	Per base sequence content	fail
Failed module: Tco-230_2	Per base sequence content	fail
Failed module: Tco-28_1_	Per base sequence content	fail
Failed module: Tco-28_2_	Per base sequence content	fail
Failed module: Tco-290_1	Per base sequence content	fail
Failed module: Tco-290_2	Per base sequence content	fail
Failed module: Tco-362_1	Per base sequence content	fail
Failed module: Tco-362_2	Per base sequence content	fail
Failed module: Tco-392_1	Per base sequence content	fail
Failed module: Tco-392_2	Per base sequence content	fail
Failed module: Tco-397_1	Per base sequence content	fail
Failed module: Tco-397_2	Per base sequence content	fail
Failed module: Tco-398_1	Per base sequence content	fail
Failed module: Tco-398_2	Per base sequence content	fail
Failed module: Tco-427_1	Per base sequence content	fail
Failed module: Tco-427_2	Per base sequence content	fail
Failed module: Tco-444_1	Per base sequence content	fail
Failed module: Tco-444_2	Per base sequence content	fail
Failed module: Tco-467_1	Per base sequence content	fail
Failed module: Tco-467_2	Per base sequence content	fail
Failed module: Tco-480_1	Per base sequence content	fail
Failed module: Tco-480_2	Per base sequence content	fail
Failed module: Tco-483_1	Per base sequence content	fail
Failed module: Tco-483_2	Per base sequence content	fail
Failed module: Tco-486_1	Per base sequence content	fail
Failed module: Tco-486_2	Per base sequence content	fail
Failed module: Tco-503_1	Per base sequence content	fail
Failed module: Tco-503_2	Per base sequence content	fail
Failed module: Tco-522_1	Per base sequence content	fail
Failed module: Tco-522_2	Per base sequence content	fail
Failed module: Tco-549_1	Per base sequence content	fail
Failed module: Tco-549_2	Per base sequence content	fail
Failed module: Tco-582_1	Per base sequence content	fail
Failed module: Tco-582_2	Per base sequence content	fail
Failed module: Tco-596_1	Per base sequence content	fail
Failed module: Tco-596_2	Per base sequence content	fail
Failed module: Tco-613_1	Per base sequence content	fail
Failed module: Tco-613_2	Per base sequence content	fail
Failed module: Tco-622_1	Per base sequence content	fail
Failed module: Tco-622_2	Per base sequence content	fail
Failed module: Tco-633_1	Per base sequence content	fail
Failed module: Tco-633_2	Per base sequence content	fail
Failed module: Tco-674_1	Per base sequence content	fail
Failed module: Tco-674_2	Per base sequence content	fail
Failed module: Tco-702_1	Per base sequence content	fail
Failed module: Tco-702_2	Per base sequence content	fail
Failed module: Tco-719_1	Per base sequence content	fail
Failed module: Tco-719_2	Per base sequence content	fail
Failed module: Tco-752_1	Per base sequence content	fail
Failed module: Tco-752_2	Per base sequence content	fail
Failed module: Tco-754_1	Per base sequence content	fail
Failed module: Tco-754_2	Per base sequence content	fail
Failed module: Tco-757_1	Per base sequence content	fail
Failed module: Tco-757_2	Per base sequence content	fail
Failed module: Tco-76_1_	Per base sequence content	fail
Failed module: Tco-76_2_	Per base sequence content	fail
Failed module: Tco-851_1	Per base sequence content	fail
Failed module: Tco-851_2	Per base sequence content	fail
Failed module: Tco-859_1	Per base sequence content	fail
Failed module: Tco-859_2	Per base sequence content	fail
Failed module: Tco-86_1_	Per base sequence content	fail
Failed module: Tco-86_2_	Per base sequence content	fail
Failed module: Tco-878_1	Per base sequence content	fail
Failed module: Tco-878_2	Per base sequence content	fail
Failed module: Tco-892_1	Per base sequence content	fail
Failed module: Tco-892_2	Per base sequence content	fail
Failed module: Tco-907_1	Per base sequence content	fail
Failed module: Tco-907_2	Per base sequence content	fail
Failed module: Tco-935_1	Per base sequence content	fail
Failed module: Tco-935_2	Per base sequence content	fail
Failed module: Tco-949_1	Per base sequence content	fail
Failed module: Tco-949_2	Per base sequence content	fail
Failed module: Tco-960_1	Per base sequence content	fail
Failed module: Tco-960_2	Per base sequence content	fail
Failed module: Tco-964_1	Per base sequence content	fail
Failed module: Tco-964_2	Per base sequence content	fail
Failed module: Tco-999_1	Per base sequence content	fail
Failed module: Tco-999_2	Per base sequence content	fail
Total failed modules: 92 of 96 samples
